Particles = 8

States (id,l,2j,2mj,energy):
1 0 1 +1 0.0
2 0 1 -1 0.0
3 0 1 +1 0.0
4 0 1 -1 0.0
5 0 1 +1 0.0
6 0 1 -1 0.0
7 0 1 +1 0.0
8 0 1 -1 0.0
9 0 1 +1 0.0
10 0 1 -1 0.0
11 0 1 +1 0.0
12 0 1 -1 0.0
13 0 1 +1 0.0
14 0 1 -1 0.0
15 0 1 +1 0.0
16 0 1 -1 0.0


Matrix Elements (<id',id'|V|id,id>):
1 2 1 2 -1.0
1 2 3 4 -1.0
1 2 5 6 -1.0
1 2 7 8 -1.0
1 2 9 10 -1.0
1 2 11 12 -1.0
1 2 13 14 -1.0
1 2 15 16 -1.0
3 4 3 4 -1.0
3 4 5 6 -1.0
3 4 7 8 -1.0
3 4 9 10 -1.0
3 4 11 12 -1.0
3 4 13 14 -1.0
3 4 15 16 -1.0
5 6 5 6 -1.0
5 6 7 8 -1.0
5 6 9 10 -1.0
5 6 11 12 -1.0
5 6 13 14 -1.0
5 6 15 16 -1.0
7 8 7 8 -1.0
7 8 9 10 -1.0
7 8 11 12 -1.0
7 8 13 14 -1.0
7 8 15 16 -1.0
9 10 9 10 -1.0
9 10 11 12 -1.0
9 10 13 14 -1.0
9 10 15 16 -1.0
11 12 11 12 -1.0
11 12 13 14 -1.0
11 12 15 16 -1.0
13 14 13 14 -1.0
13 14 15 16 -1.0
15 16 15 16 -1.0
